Gender,Age Group,Purchase Date,Product Category,Discount Availed,Gross Amount,Net Amount,Purchase Method,Location,Married
0,2,1,Home & Kitchen,0,3855.92,3855.92,Credit Card,Kolkata,0.0
1,1,4,Clothing,0,3107.76,3107.76,Net Banking,Pune,1.0
1,3,5,Electronics,1,5617.11,5551.22,Cash on Delivery,Delhi,0.0
0,2,1,Toys & Games,1,741.11,688.08,Credit Card,Delhi,0.0
1,1,3,Sports & Fitness,0,1723.0,1723.0,Debit Card,Chennai,0.0
1,2,4,Electronics,0,5676.25,5676.25,Google Pay UPI,Ahmedabad,1.0
1,1,6,Beauty and Health,1,5624.87,5310.3,Credit Card,Lucknow,1.0
1,4,3,Sports & Fitness,1,1510.16,1305.27,Credit Card,Delhi,1.0
1,1,4,Sports & Fitness,0,798.63,798.63,Net Banking,Hyderabad,1.0
2,1,3,Sports & Fitness,0,2590.93,2590.93,Debit Card,Mumbai,0.0
2,1,5,Sports & Fitness,1,4961.89,4624.15,PhonePe UPI,Mumbai,1.0
0,3,4,Electronics,1,3575.6,3097.72,Debit Card,Mumbai,0.0
1,2,6,Home & Kitchen,1,4118.79,3926.19,Cash on Delivery,Mumbai,1.0
0,3,4,Electronics,0,2011.94,2011.94,Net Banking,Ahmedabad,0.0
0,1,0,Electronics,0,3187.23,3187.23,Net Banking,Jaipur,1.0
2,2,3,Electronics,1,2938.63,2711.15,Net Banking,Chennai,0.0
1,1,5,Electronics,1,4818.09,4431.55,Net Banking,Delhi,0.0
0,1,2,Other,1,982.47,881.1,Google Pay UPI,Pune,0.0
1,2,3,Electronics,0,308.36,308.36,Debit Card,Hyderabad,1.0
2,3,0,Clothing,1,445.74,383.63,Credit Card,Delhi,0.0
1,2,2,Home & Kitchen,0,1406.56,1406.56,International Card,Bangalore,0.0
2,3,5,Books,1,4068.59,3740.55,Debit Card,Delhi,0.0
2,1,2,Beauty and Health,0,4639.34,4639.34,Debit Card,Bangalore,1.0
0,2,1,Clothing,1,2042.61,1987.67,Credit Card,Mumbai,1.0
1,3,6,Toys & Games,1,2574.02,2288.47,Credit Card,Ahmedabad,1.0
1,1,3,Beauty and Health,1,6420.81,5983.19,PhonePe UPI,Bangalore,0.0
0,3,3,Beauty and Health,1,5136.44,5077.38,Debit Card,Chennai,0.0
1,4,3,Beauty and Health,0,1362.46,1362.46,PhonePe UPI,Hyderabad,0.0
0,1,1,Home & Kitchen,1,700.9,210.49,International Card,Mumbai,0.0
2,2,2,Pet Care,1,3139.68,2746.28,Debit Card,Mumbai,0.0
1,1,2,Home & Kitchen,1,3206.23,3124.26,Credit Card,Mumbai,1.0
2,4,0,Home & Kitchen,0,4636.76,4636.76,Debit Card,Delhi,1.0
0,1,4,Books,0,1798.26,1798.26,Credit Card,Delhi,1.0
0,2,4,Toys & Games,1,2335.93,2054.48,Debit Card,Ahmedabad,0.0
0,2,1,Pet Care,0,5386.89,5386.89,PhonePe UPI,Chennai,1.0
2,1,1,Other,0,2221.57,2221.57,Credit Card,Kolkata,1.0
1,4,0,Clothing,1,397.2,241.98,Net Banking,Pune,1.0
2,3,4,Clothing,1,634.42,185.67,Debit Card,Delhi,1.0
1,3,6,Beauty and Health,0,4884.24,4884.24,Debit Card,Mumbai,1.0
2,0,6,Sports & Fitness,1,3415.8,3127.5,Paytm UPI,Pune,1.0
1,1,1,Electronics,0,5234.01,5234.01,PhonePe UPI,Delhi,1.0
0,2,6,Clothing,1,261.21,166.9,Credit Card,Mumbai,0.0
1,3,3,Clothing,0,1531.97,1531.97,PhonePe UPI,Mumbai,1.0
2,4,2,Beauty and Health,1,3424.81,2976.58,International Card,Kolkata,1.0
1,3,5,Other,1,5242.02,4809.18,Cash on Delivery,Pune,1.0
0,1,0,Beauty and Health,1,3020.92,2883.91,International Card,Chennai,1.0
0,1,3,Books,0,2011.15,2011.15,Credit Card,Mumbai,1.0
2,2,2,Clothing,1,4979.22,4670.33,Cash on Delivery,Mumbai,0.0
0,1,4,Beauty and Health,0,1293.39,1293.39,PhonePe UPI,Mumbai,1.0
1,2,1,Clothing,0,1043.09,1043.09,Credit Card,Chennai,1.0
1,1,5,Clothing,1,2721.61,2467.7,Cash on Delivery,Bangalore,1.0
0,1,1,Electronics,0,3974.12,3974.12,Debit Card,Kolkata,1.0
2,3,0,Electronics,1,765.84,322.48,Credit Card,Bangalore,0.0
2,3,2,Electronics,1,2451.39,2194.86,Net Banking,Chennai,1.0
0,1,2,Sports & Fitness,1,6231.05,5994.71,Debit Card,Delhi,0.0
1,3,5,Sports & Fitness,1,1748.46,1270.64,Credit Card,Hyderabad,1.0
0,2,5,Clothing,1,4236.94,4171.41,Credit Card,Bangalore,1.0
2,1,3,Electronics,1,3682.64,3532.39,Credit Card,Delhi,0.0
1,1,5,Beauty and Health,0,2391.38,2391.38,Net Banking,Chennai,1.0
2,1,1,Toys & Games,0,4473.38,4473.38,Credit Card,Ahmedabad,1.0
0,3,4,Electronics,1,2816.35,2442.6,Credit Card,Bangalore,1.0
0,2,2,Electronics,1,5009.57,4806.53,Credit Card,Bangalore,1.0
1,3,5,Clothing,0,618.87,618.87,Credit Card,Bangalore,0.0
2,2,6,Home & Kitchen,1,3328.35,2987.46,Debit Card,Hyderabad,0.0
0,2,5,Beauty and Health,0,2724.01,2724.01,Debit Card,Kolkata,1.0
1,3,5,Clothing,0,2788.57,2788.57,Credit Card,Pune,1.0
0,3,5,Clothing,0,3346.39,3346.39,Credit Card,Other,1.0
0,3,5,Clothing,0,3346.39,3346.39,Credit Card,Other,1.0
2,1,3,Electronics,0,273.42,273.42,Paytm UPI,Bangalore,1.0
0,1,0,Sports & Fitness,0,4421.2,4421.2,Net Banking,Mumbai,1.0
1,2,3,Electronics,0,2368.47,2368.47,Credit Card,Bangalore,1.0
0,3,6,Clothing,0,3059.62,3059.62,Credit Card,Hyderabad,1.0
1,1,4,Toys & Games,0,1389.1,1389.1,Cash on Delivery,Delhi,1.0
2,1,4,Clothing,0,3058.56,3058.56,Credit Card,Bangalore,1.0
0,2,0,Electronics,0,3405.8,3405.8,Paytm UPI,Bangalore,1.0
0,3,6,Sports & Fitness,0,358.52,358.52,Credit Card,Ahmedabad,1.0
0,2,3,Electronics,1,1616.68,1496.95,PhonePe UPI,Chennai,1.0
0,2,6,Sports & Fitness,1,2439.83,2202.42,Debit Card,Delhi,1.0
2,1,2,Clothing,1,4326.46,4100.1,Debit Card,Chennai,0.0
1,1,3,Beauty and Health,1,4676.22,4338.47,Cash on Delivery,Hyderabad,1.0
2,2,6,Clothing,0,5107.81,5107.81,Net Banking,Varanasi,1.0
1,2,2,Beauty and Health,0,1361.33,1361.33,Net Banking,Hyderabad,0.0
2,2,6,Clothing,1,1170.31,751.07,Credit Card,Chennai,1.0
1,2,1,Other,0,4245.36,4245.36,Net Banking,Chennai,0.0
0,2,2,Beauty and Health,0,710.04,710.04,PhonePe UPI,Ahmedabad,1.0
2,2,5,Sports & Fitness,0,868.47,868.47,Credit Card,Delhi,1.0
1,2,0,Home & Kitchen,0,3539.54,3539.54,Credit Card,Bangalore,0.0
0,3,2,Home & Kitchen,1,1327.8,1112.45,Credit Card,Pune,1.0
0,2,4,Beauty and Health,1,880.32,474.03,Debit Card,Hyderabad,1.0
1,1,3,Clothing,1,378.23,186.57,Net Banking,Mumbai,1.0
2,4,3,Home & Kitchen,0,387.83,387.83,Debit Card,Delhi,1.0
2,2,0,Home & Kitchen,1,740.01,275.51,Credit Card,Pune,1.0
2,1,0,Books,0,385.15,385.15,Paytm UPI,Bangalore,0.0
1,1,5,Toys & Games,0,1506.21,1506.21,Credit Card,Hyderabad,0.0
2,1,3,Sports & Fitness,0,3373.16,3373.16,Credit Card,Mumbai,1.0
1,2,3,Home & Kitchen,1,5336.63,4860.19,Credit Card,Hyderabad,1.0
2,1,1,Electronics,0,878.01,878.01,Credit Card,Mumbai,1.0
2,1,6,Electronics,1,6493.9,6075.69,Credit Card,Hyderabad,1.0
1,2,3,Books,1,4159.0,3929.98,PhonePe UPI,Dehradun,1.0
0,2,3,Beauty and Health,1,1395.68,1096.79,PhonePe UPI,Bangalore,0.0
1,2,2,Electronics,0,4748.78,4748.78,Credit Card,Pune,1.0
2,3,2,Home & Kitchen,1,4619.4,4218.27,Debit Card,Kolkata,0.0
0,3,6,Clothing,0,3935.58,3935.58,Credit Card,Bangalore,1.0
0,0,6,Electronics,1,2149.02,2059.91,International Card,Mumbai,1.0
2,2,3,Clothing,0,6923.58,6923.58,PhonePe UPI,Delhi,1.0
